SECTOR_CODE,CD_NUMBER,CD_DATE,INBOUND_TYPE,ITEM_NUMBER,HS_CODE,QUANTITY,UNIT_PRICE,AMOUNT_USD,CURRENCY_CODE
PCS,020320071037073117,07/10/2007 00:00:00,NORMAL IMPORT 0615,SYN1311C,8517629900,200,20.1294,4025.88,USD
PCS,010120071017120561,06/14/2007 00:00:00,NORMAL IMPORT 0615,SYN1764A,8517629900,180,12.296,2213.28,USD
PCS,020820071087057880,07/15/2007 00:00:00,NORMAL IMPORT 0615,SYN2035A,8517629900,100,27.62,2762,USD
PCS,020820071087058115,07/17/2007 00:00:00,NORMAL IMPORT 0615,SYN1685C,8517629900,150,9.43,1414.5,USD
PCS,020320071037084647,07/16/2007 00:00:00,NORMAL IMPORT 0615,SYN0948E,8517629900,200,26.33,5266,USD
PCS,020320071037084723,07/26/2007 00:00:00,NORMAL IMPORT 0615,SYN1509C,8517629900,1800,20.1294,36232.92,USD
PCS,020820071087075784,07/25/2007 00:00:00,NORMAL IMPORT 0615,SYN2035A,8517629900,200,27.62,5524,USD
PCS,020820071087075024,07/29/2007 00:00:00,NORMAL IMPORT 0615,SYN1439A,8517629900,270,9.23,2492.1,USD
PCS,020820071087075024,07/29/2007 00:00:00,NORMAL IMPORT 0615,SYN1439A,8517629900,90,9.23,830.7,USD
PCS,020820071087094542,07/30/2007 00:00:00,NORMAL IMPORT 0615,SYN2007C,8517629900,90,9.28,835.2,USD
PCS,010120071017151922,07/25/2007 00:00:00,NORMAL IMPORT 0615,SYN1855B,8517629900,950,12.2112,11600.64,USD
PCS,020320071037041326,08/02/2007 00:00:00,NORMAL IMPORT 0615,SYN0948E,8517629900,256,26.33,6740.48,USD
PCS,020320071037041306,08/02/2007 00:00:00,NORMAL IMPORT 0615,4888735Y03,8517629900,24000,2.2027,52864.8,USD
PCS,020820071087094625,08/05/2007 00:00:00,NORMAL IMPORT 0615,SYN1439A,8517629900,90,9.23,830.7,USD
PCS,020820071087094625,08/05/2007 00:00:00,NORMAL IMPORT 0615,SYN1439A,8517629900,1710,9.23,15783.3,USD
PCS,020820071087094902,08/05/2007 00:00:00,NORMAL IMPORT 0615,SYN1439A,8517629900,4328,9.23,39947.44,USD
PCS,020820071087094899,08/05/2007 00:00:00,NORMAL IMPORT 0615,SYN1902A,8517629900,20,27.62,552.4,USD
